Term,Course,Title,Section,CRN,Days,Times,Location,Status,Max,Now,Instructor,Delivery Mode,Credits,Info,Comments

202590,CE100,INTRODUCTION TO CIVIL ENGINEER,003,96726,M,1:00 PM - 3:05 PM,COLT 416,Open,25,8,"Golon, Frank",Face-to-Face,1,Book,
202590,CE101,CE COMPUTER AIDED DESIGN,001,90842,R,12:15 PM - 2:20 PM,FENS 160,Closed,37,37,"Santos, Stephanie",Hybrid,1,Book,"Hybrid Course
See syllabus for F2F meeting information."
202590,CE200,SURVEYING,101,90843,R,6:00 PM - 8:50 PM,TIER LECT 1,Open,140,86,"Lapatka, Allison",Hybrid,2,Book,"Must also register for CE 200A
Hybrid Course
See syllabus for F2F meeting information."
202590,CE200A,SURVEYING LAB,001,90844,R,"10:00 AM - 12:50 PM
TBA",GITC 2400,Closed,26,26,"Lapatka, Allison",Hybrid,1,Book,"Students must also register for CE 200
Hybrid Course
See syllabus for F2F meeting information."
202590,CE200A,SURVEYING LAB,003,90845,R,"1:00 PM - 3:50 PM
TBA",GITC 2400,Closed,26,26,"Lapatka, Allison",Hybrid,1,Book,"Students must also register for CE 200
Hybrid Course
See syllabus for F2F meeting information."
202590,CE200A,SURVEYING LAB,101,90846,S,"9:00 AM - 11:50 AM
TBA",GITC 2400,Closed,26,26,"Zimmermann, William",Hybrid,1,Book,"Students must also register for CE 200
Hybrid Course
See syllabus for F2F meeting information."
202590,CE210,CONSTRN MATRLS & PROCDRS,001,90848,MW,8:30 AM - 9:50 AM,COLT 416,Closed,29,29,"Golon, Frank",Face-to-Face,3,Book,
202590,CE210,CONSTRN MATRLS & PROCDRS,003,90849,MW,10:00 AM - 11:20 AM,GITC 1400,Closed,29,29,"Karaa, Fadi",Face-to-Face,3,Book,
202590,CE260,CIVIL ENGINEERNG METHODS,001,90851,M,10:00 AM - 12:50 PM,GITC 2400,Open,25,21,"Santos, Stephanie",Hybrid,1,Book,"Hybrid Course
See syllabus for F2F meeting information."
202590,CE260,CIVIL ENGINEERNG METHODS,003,90852,T,2:30 PM - 5:20 PM,GITC 2400,Open,25,20,"Santos, Stephanie",Hybrid,1,Book,"Hybrid Course
See syllabus for F2F meeting information."
202590,CE260,CIVIL ENGINEERNG METHODS,101,90853,T,6:00 PM - 8:50 PM,MALL PC39,Open,25,10,"Santos, Stephanie",Hybrid,1,Book,"Hybrid Course
See syllabus for F2F meeting information."
202590,CE260,CIVIL ENGINEERNG METHODS,HM1,90855,T,6:00 PM - 8:50 PM,MALL PC39,Open,5,1,"Santos, Stephanie",Hybrid,1,Book,"Honors Course
Hybrid Course
See syllabus for F2F meeting information."
202590,CE320,FLUID MECHANICS,003,96746,"M
W","11:30 AM - 1:35 PM
11:30 AM - 1:35 PM","FMH 403
TIER 106",Open,35,8,,Face-to-Face,3,Book,
202590,CE320,FLUID MECHANICS,001,90857,TR,11:30 AM - 1:35 PM,KUPF 202,Closed,42,42,"Olenik, Thomas",Face-to-Face,3,Book,
